url,local_path,status,content_type,bytes,is_document,url_lang,content_lang,content_lang_conf,lang,lang_mismatch,title
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c150-danismanlik-sisteminin-izlenmesi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c150-danismanlik-sisteminin-izlenmesi.html,200,text/html; charset=utf-8,16279,False,tr,tr,0.55,tr,False,C150 Danışmanlık Sisteminin İzlenmesi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c160-ogrenci-burs-ve-mali-yardim-islemlerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c160-ogrenci-burs-ve-mali-yardim-islemlerini-yonetme.html,200,text/html; charset=utf-8,16673,False,tr,tr,0.55,tr,False,C160 Öğrenci Burs ve Mali Yardım İşlemlerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c170-ogrenim-ucretlerini-yonetme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c170-ogrenim-ucretlerini-yonetme.html,200,text/html; charset=utf-8,15977,False,tr,tr,0.55,tr,False,C170 Öğrenim Ücretlerini Yönetme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c210-ogrenci-bilgi-ve-belgelerinin-yonetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c210-ogrenci-bilgi-ve-belgelerinin-yonetimi.html,200,text/html; charset=utf-8,20737,False,tr,tr,0.55,tr,False,C210 Öğrenci Bilgi ve Belgelerinin Yönetimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c220-ders-ve-donem-kayit-islemleri,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c220-ders-ve-donem-kayit-islemleri.html,200,text/html; charset=utf-8,18824,False,tr,tr,0.55,tr,False,C220 Ders ve Dönem Kayıt İşlemleri | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c230-notlar-ve-akademik-degerlendirme,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c230-notlar-ve-akademik-degerlendirme.html,200,text/html; charset=utf-8,16815,False,tr,tr,0.55,tr,False,C230 Notlar ve Akademik Değerlendirme | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c240-mezuniyet-denetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c240-mezuniyet-denetimi.html,200,text/html; charset=utf-8,17784,False,tr,tr,0.55,tr,False,C240 Mezuniyet Denetimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c250-ogrenci-bilgi-sisteminin-yonetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c250-ogrenci-bilgi-sisteminin-yonetimi.html,200,text/html; charset=utf-8,17187,False,tr,tr,0.55,tr,False,C250 Öğrenci Bilgi Sisteminin Yönetimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c260-istatistikler-ve-raporlarin-yonetimi,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c260-istatistikler-ve-raporlarin-yonetimi.html,200,text/html; charset=utf-8,16291,False,tr,tr,0.55,tr,False,C260 İstatistikler ve Raporların Yönetimi | Yönerge
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c270-akademik-takvim-yonetmelikler-yonergeler,C:\Users\kosot\Documents\bitirme\crawler_for_srdoc\mysu_dump_plus2\surecharitasi/tr/surec/c270-akademik-takvim-yonetmelikler-yonergeler.html,200,text/html; charset=utf-8,18024,False,tr,tr,0.55,tr,False,C270 Akademik Takvim Yönetmelikler Yönergeler | Yönerge
