url,local_path,status,content_type,sha256,bytes,is_document
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c280-ogrencileri-bilgilendirme,mysu_dump2\surecharitasi/tr/surec/c280-ogrencileri-bilgilendirme.html,200,text/html; charset=utf-8,,16417,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c290-program-bildirimidegisikligi-cift-anadal-ve-yan-dal-islemleri,mysu_dump2\surecharitasi/tr/surec/c290-program-bildirimidegisikligi-cift-anadal-ve-yan-dal-islemleri.html,200,text/html; charset=utf-8,,15590,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c330-saglik-hizmetlerini-saglama,mysu_dump2\surecharitasi/tr/surec/c330-saglik-hizmetlerini-saglama.html,200,text/html; charset=utf-8,,22097,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c420-degisim-programlarini-koordine-etme,mysu_dump2\surecharitasi/tr/surec/c420-degisim-programlarini-koordine-etme.html,200,text/html; charset=utf-8,,24424,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c430-uluslararasi-pazarlama-ve-tanitimi-koordine-etme,mysu_dump2\surecharitasi/tr/surec/c430-uluslararasi-pazarlama-ve-tanitimi-koordine-etme.html,200,text/html; charset=utf-8,,17589,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c510-akademik-program-acilmasi-revizyonu,mysu_dump2\surecharitasi/tr/surec/c510-akademik-program-acilmasi-revizyonu.html,200,text/html; charset=utf-8,,17864,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c520-ders-katologunu-hazirlama,mysu_dump2\surecharitasi/tr/surec/c520-ders-katologunu-hazirlama.html,200,text/html; charset=utf-8,,16965,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c530-ders-ve-sinav-programlarini-yonetme,mysu_dump2\surecharitasi/tr/surec/c530-ders-ve-sinav-programlarini-yonetme.html,200,text/html; charset=utf-8,,16804,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c610-mekan-tahsislerini-yonetme,mysu_dump2\surecharitasi/tr/surec/c610-mekan-tahsislerini-yonetme.html,200,text/html; charset=utf-8,,16401,False
https://mysu.sabanciuniv.edu/surecharitasi/tr/surec/c620-ogrenci-etkinlik-ve-ogrenci-konseyi-koordine-etme,mysu_dump2\surecharitasi/tr/surec/c620-ogrenci-etkinlik-ve-ogrenci-konseyi-koordine-etme.html,200,text/html; charset=utf-8,,20410,False
